RESULTADO;WELLBOAT;dia;mes;año
POSITIVO;QUEILEN;12;1;2018
NEGATIVO;PANIAHUE;15;1;2018
NEGATIVO;QUEILEN;15;1;2018
NEGATIVO;HEIMDALL;15;1;2018
NEGATIVO;SEIFYR;15;1;2018
NEGATIVO;SEIKAPP;15;1;2018
NEGATIVO;ORCA ONA;15;1;2018
NEGATIVO;LINDA MARIJKE;16;1;2018
NEGATIVO;FORSETI;16;1;2018
NEGATIVO;PANIAHUE;16;1;2018
NEGATIVO;QUEILEN;16;1;2018
NEGATIVO;PANIAHUE;17;1;2018
NEGATIVO;SEIFYR;17;1;2018
NEGATIVO;RIO DULCE 3;17;1;2018
NEGATIVO;QUEILEN;17;1;2018
NEGATIVO;SEIKAPP;17;1;2018
NEGATIVO;VALI;17;1;2018
NEGATIVO;RIO DULCE 2;17;1;2018
NEGATIVO;RIO DULCE 2;18;1;2018
NEGATIVO;PANIAHUE;18;1;2018
NEGATIVO;GRIP SUPERIOR;18;1;2018
NEGATIVO;LINDA MARIJKE;18;1;2018
NEGATIVO;RONIA AUSTRAL;18;1;2018
NEGATIVO;QUEILEN;18;1;2018
POSITIVO;PATAGON 4;18;1;2018
POSITIVO;PATAGON 8;19;1;2018
POSITIVO;PATAGON 8;19;1;2018
NEGATIVO;HEIMDALL;19;1;2018
POSITIVO;PATAGON 8;19;1;2018
NEGATIVO;RIO DULCE 3;19;1;2018
POSITIVO;RIO DULCE 3;19;1;2018
POSITIVO;HEIMDALL;19;1;2018
POSITIVO;HEIMDALL;19;1;2018
NEGATIVO;QUEILEN;19;1;2018
NEGATIVO;FORSETI;19;1;2018
NEGATIVO;RONIA AUSTRAL;20;1;2018
POSITIVO;PATAGON 5;20;1;2018
NEGATIVO;QUEILEN;20;1;2018
NEGATIVO;VALI;20;1;2018
NEGATIVO;PATAGON 8;20;1;2018
NEGATIVO;RIO DULCE 2;20;1;2018
NEGATIVO;PANIAHUE;20;1;2018
POSITIVO;PANIAHUE;20;1;2018
NEGATIVO;LINDA MARIJKE;22;1;2018
NEGATIVO;LOKI;22;1;2018
POSITIVO;LOKI;22;1;2018
POSITIVO;LOKI;22;1;2018
NEGATIVO;PATAGON 8;22;1;2018
POSITIVO;PATAGON 8;22;1;2018
POSITIVO;PATAGON 8;22;1;2018
NEGATIVO;QUEILEN;22;1;2018
POSITIVO;QUEILEN;22;1;2018
NEGATIVO;HEIMDALL;22;1;2018
POSITIVO;HEIMDALL;22;1;2018
NEGATIVO;RIO DULCE 2;22;1;2018
NEGATIVO;RIO DULCE 2;22;1;2018
POSITIVO;RIO DULCE 3;22;1;2018
POSITIVO;RIO DULCE 3;22;1;2018
NEGATIVO;RONIA PACIFIC;22;1;2018
NEGATIVO;QUEILEN;22;1;2018
NEGATIVO;VALI;22;1;2018
NEGATIVO;PATAGON 7;22;1;2018
POSITIVO;PATAGON 7;22;1;2018
POSITIVO;PATAGON 7;22;1;2018
NEGATIVO;SEIFYR;22;1;2018
POSITIVO;SEIFYR;22;1;2018
POSITIVO;LINDA MARIJKE;22;1;2018
NEGATIVO;PATAGON 8;23;1;2018
POSITIVO;PATAGON 8;23;1;2018
POSITIVO;PATAGON 8;23;1;2018
POSITIVO;PATAGON 8;23;1;2018
NEGATIVO;QUEILEN;23;1;2018
NEGATIVO;RONIA AUSTRAL;23;1;2018
NEGATIVO;FORSETI;23;1;2018
