FECHA MUESTREO	RESULTADO	WELLBOAT
2018-01-12 00:00:00 UTC	POSITIVO	QUEILEN
2018-01-15 00:00:00 UTC	NEGATIVO	PANIAHUE
2018-01-15 00:00:00 UTC	NEGATIVO	QUEILEN
2018-01-15 00:00:00 UTC	NEGATIVO	HEIMDALL
2018-01-15 00:00:00 UTC	NEGATIVO	SEIFYR
2018-01-15 00:00:00 UTC	NEGATIVO	SEIKAPP
2018-01-15 00:00:00 UTC	NEGATIVO	ORCA ONA
2018-01-16 00:00:00 UTC	NEGATIVO	LINDA MARIJKE
2018-01-16 00:00:00 UTC	NEGATIVO	FORSETI
2018-01-16 00:00:00 UTC	NEGATIVO	PANIAHUE
2018-01-16 00:00:00 UTC	NEGATIVO	QUEILEN
2018-01-17 00:00:00 UTC	NEGATIVO	PANIAHUE
2018-01-17 00:00:00 UTC	NEGATIVO	SEIFYR
2018-01-17 00:00:00 UTC	NEGATIVO	RIO DULCE 3
2018-01-17 00:00:00 UTC	NEGATIVO	QUEILEN
2018-01-17 00:00:00 UTC	NEGATIVO	SEIKAPP
2018-01-17 00:00:00 UTC	NEGATIVO	VALI
2018-01-17 00:00:00 UTC	NEGATIVO	RIO DULCE 2
2018-01-18 00:00:00 UTC	NEGATIVO	RIO DULCE 2
2018-01-18 00:00:00 UTC	NEGATIVO	PANIAHUE
2018-01-18 00:00:00 UTC	NEGATIVO	GRIP SUPERIOR
2018-01-18 00:00:00 UTC	NEGATIVO	LINDA MARIJKE
2018-01-18 00:00:00 UTC	NEGATIVO	RONIA AUSTRAL
2018-01-18 00:00:00 UTC	NEGATIVO	QUEILEN
2018-01-18 00:00:00 UTC	POSITIVO	PATAGON 4
2018-01-19 00:00:00 UTC	POSITIVO	PATAGON 8
2018-01-19 00:00:00 UTC	POSITIVO	PATAGON 8
2018-01-19 00:00:00 UTC	NEGATIVO	HEIMDALL
2018-01-19 00:00:00 UTC	POSITIVO	PATAGON 8
2018-01-19 00:00:00 UTC	NEGATIVO	RIO DULCE 3
2018-01-19 00:00:00 UTC	POSITIVO	RIO DULCE 3
2018-01-19 00:00:00 UTC	POSITIVO	HEIMDALL
2018-01-19 00:00:00 UTC	POSITIVO	HEIMDALL
2018-01-19 00:00:00 UTC	NEGATIVO	QUEILEN
2018-01-19 00:00:00 UTC	NEGATIVO	FORSETI
